64|30g with 125 of semi-skimmed milk|5 000127 521056|717|169|9|29|14|2.5|1.5|1|0.3
65|30g serving with 125ml semi-skimmed milk|5 000119 684257|725|173|6.7|26.1|13.3|4.5|3|2.3|0.2
66|100g|5 000119 684257|1582|375|8.5|66.3|23.5|8.4|5.3|7.8|0.5
67|roll|5 000169 697009|640|152|6|26|1.4|2.6|1.1|3|0.43
68|100g|5 000169 697009|1071|241|9.6|41.3|2.2|4.1|1.8|4.7|0.69
69|roll|t69|675|160|5.9|27.8|2.1|3.7|1.1|2.2|0.41
70|100g|t69|1145|271|10|47.2|3.7|6.4|2|3.8|0.7
71|Slice|t72|447|106|4.8|18.2|1.6|1.5|0.4|2.8|0.2
72|100g|t72|1005|237|10.7|41|3.6|3.4|0.8|6.2|0.5
73|Slice|5 010092 050949|404|95|4.8|16.2|1.4|1.3|0.3|3.1|0.2
74|100g|5 010092 050949|918|217|10.9|36.8|3.1|2.9|0.6|7|0.5
75|slice |5 000169 483732|472|112|4.8|16|0.8|3.2|0.3|2.6|0.2
76|100g|5 000169 483732|1064|252|10.9|36|1.7|7.2|0.7|5.8|0.4
77|Slice|5 000169 515754|374|88|3.8|16|0.6|1|0.2|1.7|0.2
78|100g|5 000169 515754|931|220|9.4|39.9|1.6|2.5|0.4|4.3|0.5
79|roll|5 000169 705438|715|169|6.2|29|2.8|3.2|0.8|1.3|0.3
80|100g|5 000169 705438|1192|282|10.3|48.3|4.6|5.3|1.4|2.1|0.5
81|100g|5 010003 000278|847|206|10.2|36.6|1.2|2.1|0.6|5.3|0.4
82|slice 44g|5 010003 000278|388|92|4.5|16.3|0.5|0.9|0.3|2.4|0.2
83|roll 65g|5 031021 618863|658|156|5.8|26.1|2.7|3.1|1.5|3.7|0.4
84|100g|5 031021 618863|1013|240|9|40.2|4.1|4.8|2.3|5.7|0.6
85|Slice|5 010092 048502|397|94|4.4|16.4|1.8|1.1|0.2|3.3|0.2
86|100g|5 010092 048502|902|213|10.1|37.3|4|2.6|0.4|7.5|0.5
87|slice 35g|5 010003 000421|345|82|3.8|14|0.6|1.2|0.4|1.3|0.2
88|100g|5 010003 000421|985|233|10.8|40.1|1.7|3.3|1.1|3.7|0.5
89|5g serving|5 011546 416984|83|20|0.1|4.2|0.7|0.3|0.3|0|0
90|100g serving|5 011546 416984|1659|398|2.5|83.9|14.8|6.9|6.6|0|0.2
91|330ml|5 000436 238515|647|152|0|38|38|0|0|0|0
92|100ml|5 000436 238515|196|46|0|11.5|11.5|0|0|0|0
93|250ml serving|5 000169 019443|366|86|8.5|12.5|12.5|0.3|0.2|0|0.1
94|100ml|5 000169 019443|147|35|3.4|5|5|0.1|0|0|0
95|?|5 000169 00780|181|43|0.4|9.2|9.2|0|0|0|0
96|83g seving |5 000169 948026|192|46|1.5|5.6|3.9|1.9|0.17|1.25|0.15
97|100g|5 000169 948026|231|55|1.8|6.8|4.7|2.3|0.2|1.5|0.18
98|100g|1002 2405|76|18|0.7|3.1|3.1|0.3|0.1|1|0
99|67g serving |1004 7378|305|72|2.9|11.5|1.2|1.6|0.4|0.5|0.2
100|100g|1004 7378|455|108|4.3|17.2|1.7|2.4|0.5|0.8|0.2
101|100g|5 000169 545058|667|160|4.1|14|1.6|7.9|1.8|0.6|0.5
102|100g|5 000169 692776|425|102|4.2|12.3|2.5|3.9|0.5|2.4|0.39
103|100g|5 000169 882665|702|169|4.3|10|3.4|12.4|2.8|0.6|0.32
104|100ml|5 000169 352748|570|135|0.6|29.9|26.4|1.4|0.2|0.8|0.3
